Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-03-08,2.95,2.95,2.95,2.95,25,0,0
2012-03-09,2.95,2.95,2.95,2.95,0,0,0
2012-03-12,2.95,2.95,2.95,2.95,0,0,0
2012-03-13,2.95,2.95,2.95,2.95,0,0,0
2012-03-14,2.95,2.95,2.95,2.95,0,0,0
2012-03-15,2.95,2.95,2.95,2.95,0,0,0
2012-03-16,2.95,2.95,2.95,2.95,0,0,0
2012-03-19,2.95,2.95,2.95,2.95,0,0,0
2012-03-20,2.95,2.95,2.95,2.95,0,0,0
2012-03-21,2.95,2.95,2.95,2.95,0,0,0
2012-03-22,2.95,2.95,2.95,2.95,0,0,0
2012-03-23,2.95,2.95,2.95,2.95,0,0,0
2012-03-26,2.95,2.95,2.95,2.95,0,0,0
2012-03-27,2.95,2.95,2.95,2.95,0,0,0
2012-03-28,2.95,2.95,2.95,2.95,0,0,0
2012-03-29,2.95,2.95,2.95,2.95,0,0,0
2012-03-30,2.95,2.95,2.95,2.95,100,0,0
2012-04-02,2.95,2.95,2.95,2.95,0,0,0
2012-04-03,2.95,2.95,2.95,2.95,0,0,0
2012-04-04,2.95,2.95,2.95,2.95,0,0,0
2012-04-05,2.95,2.95,2.95,2.95,0,0,0
2012-04-09,2.95,2.95,2.95,2.95,0,0,0
2012-04-10,2.95,2.95,2.95,2.95,0,0,0
2012-04-11,2.95,2.95,2.95,2.95,0,0,0
2012-04-12,2.95,2.95,2.95,2.95,0,0,0
2012-04-13,2.95,2.95,2.95,2.95,0,0,0
2012-04-16,2.95,2.95,2.95,2.95,0,0,0
2012-04-17,2.95,2.95,2.95,2.95,0,0,0
2012-04-18,2.95,2.95,2.95,2.95,0,0,0
2012-04-19,2.95,2.95,2.95,2.95,0,0,0
2012-04-20,2.95,2.95,2.95,2.95,0,0,0
2012-04-23,2.95,2.95,2.95,2.95,0,0,0
2012-04-24,2.95,2.95,2.95,2.95,0,0,0
