Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-02-07,12.1,12.1,12.1,12.1,0,0,0.0
2012-02-08,12.1,12.1,12.1,12.1,0,0,0.0
2012-02-09,12.1,12.1,12.1,12.1,0,0,0.0
2012-02-10,12.1,12.1,12.1,12.1,0,0,0.0
2012-02-13,12.1,12.1,12.1,12.1,0,0,0.0
2012-02-14,16.5,16.5,16.5,16.5,100,0,0.0
2012-02-15,16.5,16.5,16.5,16.5,0,0,0.0
2012-02-16,16.5,16.5,16.5,16.5,0,0,0.0
2012-02-17,16.5,16.5,16.5,16.5,0,0,0.0
2012-02-21,16.5,16.5,16.5,16.5,0,0,0.0
2012-02-22,16.5,16.5,16.5,16.5,0,0,0.0
2012-02-23,16.5,16.5,16.5,16.5,0,0,0.0
2012-02-24,16.5,16.5,16.5,16.5,0,0,0.0
2012-02-27,16.5,16.5,16.5,16.5,0,0,0.0
2012-02-28,16.5,16.5,16.5,16.5,0,0,0.0
2012-02-29,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-01,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-02,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-05,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-06,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-07,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-08,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-09,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-12,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-13,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-14,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-15,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-16,16.5,16.5,16.5,16.5,0,0,0.0
2012-03-19,21.8,21.8,21.8,21.8,0,0,0.0
2012-03-20,21.8,21.8,21.8,21.8,0,0,0.0
2012-03-21,21.8,21.8,21.8,21.8,0,0,0.0
2012-03-22,21.3,21.3,20.9,21.0,800,0,0.0
2012-03-23,21.0,21.0,21.0,21.0,0,0,0.0
2012-03-26,21.0,21.0,21.0,21.0,0,0,0.0
2012-03-27,21.0,21.0,21.0,21.0,0,0,0.0
